Time (s),Signal (Green),BPM
0.38,52.73,0
0.56,55.47,0
0.65,64.4,0
0.75,67.82,0
0.82,73.11,0
0.88,68.33,0
0.95,66.47,0
1.01,67.6,0
1.07,69.88,0
1.15,68.14,0
1.21,73.71,0
1.27,66.29,0
1.34,64.88,0
1.4,70.31,0
1.46,67.91,0
1.52,63.67,0
1.58,62.23,0
1.65,63.38,0
1.72,61.51,0
1.79,63.02,0
1.84,61.73,0
1.91,62.59,0
1.98,69.86,0
2.08,58.73,0
2.14,68.68,0
2.2,66.59,0
2.27,64.13,0
2.33,67.91,0
2.4,66.2,0
2.46,69.01,60
2.51,64.31,58
2.56,65.89,56
2.62,67.19,54
2.68,66.28,52
2.73,65.66,51
2.82,65.23,50
2.88,64.02,48
2.96,68.22,94
3.05,63.3,92
3.11,63.84,90
3.18,64.85,87
3.22,71.54,85
3.28,70.76,83
3.33,68.59,81
3.39,65.63,80
3.46,69.04,78
3.53,71.9,76
3.58,67.86,75
3.63,70.13,73
3.68,69.04,72
3.74,65.21,70
3.8,71.31,69
3.86,67.74,67
3.92,69.14,66
3.99,62.59,65
4.05,72.34,64
4.12,65.05,63
4.18,72.0,62
4.24,66.49,61
4.3,68.75,60
4.37,62.63,59
4.45,67.07,58
4.52,66.65,57
4.57,74.09,56
4.62,63.98,55
4.68,66.66,54
4.73,68.23,53
4.81,67.53,52
4.87,72.7,52
4.93,69.77,51
5.0,69.64,50
5.06,75.95,75
5.11,70.85,49
5.17,71.34,48
5.23,71.7,48
5.29,70.4,71
5.35,73.68,70
5.41,74.67,69
5.47,69.81,91
5.54,69.71,90
5.62,71.56,88
5.68,69.78,87
5.74,71.01,86
5.79,78.0,85
5.85,75.24,84
6.16,84.96,83
6.22,78.51,82
6.29,78.32,81
6.36,76.26,80
6.42,75.74,80
6.49,77.01,79
6.55,81.63,58
6.61,81.09,58
6.68,77.14,57
6.75,77.62,56
6.81,80.1,56
6.87,79.65,55
6.94,77.47,55
7.02,79.35,54
7.08,78.18,53
7.13,79.65,89
7.21,75.53,88
7.32,70.93,52
7.38,80.01,86
7.44,80.76,85
7.51,79.73,84
16.54,82.35,60
16.63,76.2,48
16.7,72.73,48
16.75,71.22,48
16.87,74.31,48
16.96,69.2,48
17.04,67.31,48
17.12,72.9,48
17.2,73.81,84
17.26,71.92,48
17.34,71.44,84
17.44,73.19,84
17.52,74.0,48
17.61,75.14,48
17.71,73.19,48
17.79,70.31,84
17.87,68.7,84
17.95,67.04,84
18.02,58.48,84
18.12,62.35,84
18.22,60.06,84
18.31,60.81,84
18.4,60.66,84
18.52,63.63,48
18.57,66.91,48
18.63,63.82,48
18.68,62.32,48
18.72,60.79,48
18.77,55.8,48
18.8,50.68,48
18.85,56.22,48
18.91,63.49,84
18.94,59.02,84
18.99,55.33,48
19.04,57.4,108
19.1,63.35,84
19.16,63.39,156
19.21,61.17,84
19.25,67.13,84
19.29,64.92,72
19.32,58.26,84
19.35,60.97,84
19.39,55.12,48
19.41,60.32,84
19.44,58.35,84
19.47,64.63,48
19.5,62.51,156
19.53,63.09,156
19.56,61.4,156
19.61,63.7,156
19.67,52.6,72
19.7,60.63,156
19.74,57.93,156
19.77,56.3,156
19.8,59.54,156
19.84,65.55,84
19.87,58.42,156
19.93,60.42,156
19.98,57.76,156
20.02,54.86,132
20.06,54.49,84
20.12,56.85,156
20.15,59.41,132
20.18,55.34,84
20.22,54.54,156
20.25,52.51,84
20.29,55.16,156
20.32,53.99,156
20.35,50.63,156
20.4,56.29,156
20.47,61.8,84
20.52,56.13,156
20.57,61.45,156
20.63,55.17,156
20.66,53.39,156
20.69,55.75,156
20.72,50.28,156
20.76,50.45,156
20.79,51.52,156
20.84,56.57,156
20.88,53.35,156
20.91,53.52,156
20.94,55.27,156
20.99,60.1,156
21.05,51.37,156
21.08,59.61,96
21.11,51.81,156
21.14,55.19,144
21.2,51.28,156
21.26,51.28,156
21.3,54.11,156
21.33,52.5,156
21.37,53.51,156
21.4,63.72,156
21.44,56.45,156
21.47,57.08,156
21.5,49.56,156
21.54,59.55,156
21.57,58.8,156
21.6,52.48,156
21.64,56.57,156
21.67,59.31,156
21.73,59.31,156
21.77,57.58,156
21.82,59.72,156
21.87,56.06,156
21.9,50.94,120
21.93,54.77,84
21.97,56.12,156
22.0,54.63,156
22.04,50.49,84
22.09,50.49,156
22.12,58.67,120
22.17,49.66,156
22.22,47.59,156
22.26,53.31,156
22.3,48.05,84
22.34,63.08,84
22.4,58.65,156
22.44,60.37,84
22.47,60.36,156
22.51,60.36,156
22.55,51.71,156
22.58,53.09,84
22.6,54.64,84
22.64,54.93,84
22.67,61.34,156
22.7,60.69,156
22.73,55.3,156
22.76,61.68,120
22.81,62.79,156
22.85,59.38,156
22.87,60.16,156
22.92,62.25,156
22.95,62.25,156
22.97,51.32,156
23.0,55.93,156
23.04,58.66,156
23.07,53.55,156
23.11,55.74,156
23.14,54.72,156
23.17,58.87,156
23.2,57.75,156
23.23,53.92,156
23.27,62.57,120
23.3,58.99,156
23.34,59.94,156
23.38,59.94,156
23.41,57.12,120
23.45,59.45,120
23.49,55.23,120
23.52,58.08,156
23.55,54.26,120
23.59,60.4,156
23.64,65.5,60
23.68,59.67,60
23.73,59.55,156
23.76,57.38,156
23.81,58.75,156
23.85,58.8,156
23.89,54.92,156
23.96,60.22,156
24.0,64.89,156
24.03,61.39,156
24.06,60.45,156
24.12,60.62,156
24.15,59.85,156
24.19,53.59,156
24.21,58.59,156
24.24,58.59,156
24.27,59.11,156
24.31,57.79,156
24.34,60.3,156
24.37,62.51,60
24.4,60.97,156
24.43,56.52,156
24.46,58.05,156
24.48,56.5,156
24.52,55.88,60
24.56,56.81,156
24.59,65.31,144
24.62,63.21,60
24.66,63.21,60
24.71,63.19,60
24.74,57.57,144
24.77,60.32,144
24.81,56.37,144
24.84,58.65,144
24.87,64.58,144
24.9,60.4,144
24.94,60.95,144
24.99,62.29,144
25.04,59.43,144
25.08,53.2,60
25.13,52.09,60
25.17,48.94,60
25.21,57.93,144
25.24,55.68,60
25.27,58.0,60
25.3,52.27,120
25.34,56.08,60
25.37,50.36,144
25.4,54.24,60
25.44,55.95,60
25.47,55.95,60
25.5,53.43,60
25.54,57.95,60
25.57,56.65,60
25.61,56.83,60
25.64,55.17,60
25.67,56.64,60
25.7,49.86,120
25.74,58.83,60
25.77,53.75,60
25.83,52.98,60
25.87,49.19,60
25.9,49.54,60
25.96,49.54,60
26.0,53.39,60
26.04,52.76,60
26.07,54.98,84
26.1,54.11,60
26.14,55.55,84
26.21,51.55,60
26.26,52.0,60
26.31,52.37,84
26.34,54.79,84
26.38,54.79,84
26.4,69.03,60
26.44,60.75,84
26.47,58.44,84
26.52,60.03,84
26.56,59.89,84
26.59,55.43,84
26.62,66.38,84
26.66,59.58,84
26.69,67.68,60
26.72,65.99,60
26.8,65.62,60
26.84,65.34,60
26.91,70.05,60
26.94,64.47,60
26.97,63.43,72
27.0,64.46,60
27.04,58.84,60
27.07,65.52,84
27.1,60.5,60
27.14,56.38,60
27.17,62.8,72
27.2,62.8,72
27.24,56.68,60
27.28,63.8,132
27.33,58.33,60
27.37,60.07,60
27.42,61.27,60
27.48,57.11,72
27.54,60.26,60
27.57,62.71,60
27.61,56.83,72
27.64,61.69,60
27.67,63.16,60
27.7,60.94,72
27.74,65.26,60
27.77,58.78,60
27.81,61.39,60
27.85,65.4,60
27.88,56.54,72
27.92,59.13,72
27.96,57.68,72
27.99,61.96,72
28.03,55.92,72
28.07,71.73,72
28.1,56.88,72
28.14,57.96,72
28.17,58.72,72
28.21,67.63,72
28.24,59.71,60
28.27,66.38,72
28.3,67.93,72
28.34,56.94,60
28.37,69.37,72
28.4,61.63,60
28.44,61.87,60
28.47,68.02,60
28.51,69.35,72
28.54,62.82,72
28.58,61.51,72
28.62,66.27,72
28.65,58.17,72
28.68,60.4,72
28.72,62.52,72
28.75,56.57,72
28.79,76.71,60
28.83,64.08,72
28.86,64.98,72
28.94,59.46,72
28.97,67.91,72
29.0,60.41,72
29.04,68.97,72
29.07,57.61,60
29.11,56.63,60
29.15,57.13,72
29.18,57.56,60
29.21,60.06,60
29.24,62.28,72
29.28,60.1,72
29.32,58.8,72
29.36,59.16,72
29.39,59.06,72
29.46,59.47,72
29.51,53.11,72
29.54,60.23,60
29.6,56.62,72
29.64,52.76,72
29.67,59.61,72
29.71,54.97,72
29.75,52.06,72
29.78,52.29,72
29.82,48.85,72
29.85,57.75,60
29.89,57.58,60
29.92,51.66,72
29.95,55.48,72
29.99,51.54,72
30.04,52.96,72
30.08,56.95,72
30.11,55.49,72
30.14,56.18,72
30.17,57.3,72
30.21,55.45,72
30.24,52.89,60
30.29,54.29,60
30.32,49.7,60
30.38,54.04,72
30.43,58.42,72
30.47,52.24,72
30.5,50.86,72
30.53,56.27,60
30.56,60.15,60
30.6,56.14,60
30.64,52.02,72
30.67,54.97,72
30.71,51.4,72
30.74,59.8,60
30.78,58.36,60
30.81,57.03,108
30.85,55.36,108
30.89,53.92,108
30.92,54.87,60
30.96,57.57,60
30.99,51.34,48
31.02,58.28,60
31.06,53.21,108
31.09,55.48,108
31.12,53.57,108
31.16,54.8,108
31.2,56.92,108
31.24,52.1,60
31.28,55.78,108
31.31,51.08,60
31.34,54.75,84
31.39,53.28,48
31.43,60.41,48
31.46,53.97,108
31.49,57.49,84
31.53,53.85,84
31.57,57.35,84
31.6,55.63,84
31.63,53.91,84
31.66,60.26,84
31.7,52.7,84
31.72,56.35,84
31.76,51.35,84
31.79,55.6,108
31.82,55.66,108
31.86,58.01,108
31.89,56.27,84
